Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR7685878_treated_Rep1	(1, 0.029677364650019078)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.01695849408572519)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0021198117607156486)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0021198117607156486)	(42, 0.0021198117607156486)	(44, 0.010599058803578244)	(46, 0.006359435282146946)	(48, 0.006359435282146946)	(50, 0.006359435282146946)	(52, 0.0021198117607156486)	(54, 0.004239623521431297)	(56, 0.006359435282146946)	(58, 0.006359435282146946)	(60, 0.0)	(62, 0.004239623521431297)	(64, 0.004239623521431297)	(66, 0.006359435282146946)	(68, 0.0021198117607156486)	(70, 0.0)	(72, 0.0021198117607156486)	(74, 0.004239623521431297)	(76, 0.004239623521431297)
SRR7685879_treated	(1, 0.04665563897018281)	(2, 0.008482843449124146)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.004241421724562073)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.004241601628775025)	(22, 0.0)	(24, 0.0)	(26, 0.0021217907914279654)	(28, 0.002122376212407411)	(30, 0.0021230070271532598)	(32, 0.0)	(34, 0.004249893752656183)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.004259397295282717)	(44, 0.008526603001364257)	(46, 0.004267577083111064)	(48, 0.004273230348481935)	(50, 0.004280730292587916)	(52, 0.0021436227224008574)	(54, 0.00429599398560842)	(56, 0.004303944565194001)	(58, 0.008628127696289905)	(60, 0.004326382279138184)	(62, 0.006509145349215649)	(64, 0.008706061595385787)	(66, 0.008738967054094207)	(68, 0.013164534743401277)	(70, 0.011021955735825765)	(72, 0.011136105481191117)	(74, 0.0120368810033944)	(76, 0.0)
SRR7685879_treated_R1	(1, 0.046635858735744266)	(2, 0.008479247042862594)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.004239623521431297)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.004239623521431297)	(22, 0.0)	(24, 0.0)	(26, 0.0021198117607156486)	(28, 0.0021198117607156486)	(30, 0.0021198117607156486)	(32, 0.0)	(34, 0.004239623521431297)	(36, 0.0021198117607156486)	(38, 0.0021198117607156486)	(40, 0.004239623521431297)	(42, 0.006359435282146946)	(44, 0.012718870564293891)	(46, 0.010599058803578244)	(48, 0.010599058803578244)	(50, 0.019078305846440838)	(52, 0.01695849408572519)	(54, 0.01695849408572519)	(56, 0.01695849408572519)	(58, 0.023317929367872133)	(60, 0.021198117607156487)	(62, 0.027557552889303432)	(64, 0.023317929367872133)	(66, 0.027557552889303432)	(68, 0.03391698817145038)	(70, 0.03179717641073473)	(72, 0.03391698817145038)	(74, 0.042396235214312974)	(76, 0.046635858735744266)
SRR7685879_treated_Rep2	(1, 0.046635858735744266)	(2, 0.008479247042862594)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.004239623521431297)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.004239623521431297)	(22, 0.0)	(24, 0.0)	(26, 0.0021198117607156486)	(28, 0.0021198117607156486)	(30, 0.0021198117607156486)	(32, 0.0)	(34, 0.004239623521431297)	(36, 0.0021198117607156486)	(38, 0.0021198117607156486)	(40, 0.004239623521431297)	(42, 0.006359435282146946)	(44, 0.012718870564293891)	(46, 0.010599058803578244)	(48, 0.010599058803578244)	(50, 0.019078305846440838)	(52, 0.01695849408572519)	(54, 0.01695849408572519)	(56, 0.01695849408572519)	(58, 0.023317929367872133)	(60, 0.021198117607156487)	(62, 0.027557552889303432)	(64, 0.023317929367872133)	(66, 0.027557552889303432)	(68, 0.03391698817145038)	(70, 0.03179717641073473)	(72, 0.03391698817145038)	(74, 0.042396235214312974)	(76, 0.046635858735744266)
SRR7685880_control_Rep1	(1, 0.038156611692881676)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.004239623521431297)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0021198117607156486)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0021198117607156486)	(44, 0.0)	(46, 0.0)	(48, 0.0021198117607156486)	(50, 0.0021198117607156486)	(52, 0.0021198117607156486)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0021198117607156486)	(76, 0.0)
SRR7685881_control	(1, 0.038174414658975225)	(2, 0.004241601628775025)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00848320325755005)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0021208008143875127)	(14, 0.0)	(16, 0.0)	(18, 0.004241601628775025)	(20, 0.0)	(22, 0.002121205693316081)	(24, 0.0)	(26, 0.004243491544843097)	(28, 0.008487703439641819)	(30, 0.006366858379846772)	(32, 0.006370102983331564)	(34, 0.006372673973999491)	(36, 0.0)	(38, 0.004251791066986968)	(40, 0.004253599608668836)	(42, 0.004256949470009791)	(44, 0.002131060202450719)	(46, 0.008535882716971468)	(48, 0.010681706509431947)	(50, 0.010697933159313621)	(52, 0.010719032714487844)	(54, 0.006440532417346502)	(56, 0.006453555909306028)	(58, 0.0064669109721922835)	(60, 0.006482842077966981)	(62, 0.010830481306589264)	(64, 0.002172071504593931)	(66, 0.006536232515578021)	(68, 0.015301884317754557)	(70, 0.017561960792922528)	(72, 0.015501472639900789)	(74, 0.016753625963333494)	(76, 0.0)
SRR7685881_control_R1	(1, 0.038156611692881676)	(2, 0.004239623521431297)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.008479247042862594)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0021198117607156486)	(14, 0.0)	(16, 0.0)	(18, 0.004239623521431297)	(20, 0.0)	(22, 0.0021198117607156486)	(24, 0.0)	(26, 0.004239623521431297)	(28, 0.008479247042862594)	(30, 0.006359435282146946)	(32, 0.006359435282146946)	(34, 0.006359435282146946)	(36, 0.0021198117607156486)	(38, 0.008479247042862594)	(40, 0.010599058803578244)	(42, 0.004239623521431297)	(44, 0.006359435282146946)	(46, 0.01695849408572519)	(48, 0.019078305846440838)	(50, 0.01695849408572519)	(52, 0.01695849408572519)	(54, 0.014838682325009539)	(56, 0.010599058803578244)	(58, 0.019078305846440838)	(60, 0.019078305846440838)	(62, 0.025437741128587783)	(64, 0.01695849408572519)	(66, 0.025437741128587783)	(68, 0.036036799932166026)	(70, 0.038156611692881676)	(72, 0.040276423453597325)	(74, 0.04451604697502862)	(76, 0.042396235214312974)
SRR7685881_control_Rep2	(1, 0.038156611692881676)	(2, 0.004239623521431297)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.008479247042862594)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0021198117607156486)	(14, 0.0)	(16, 0.0)	(18, 0.004239623521431297)	(20, 0.0)	(22, 0.0021198117607156486)	(24, 0.0)	(26, 0.004239623521431297)	(28, 0.008479247042862594)	(30, 0.006359435282146946)	(32, 0.006359435282146946)	(34, 0.006359435282146946)	(36, 0.0021198117607156486)	(38, 0.008479247042862594)	(40, 0.010599058803578244)	(42, 0.004239623521431297)	(44, 0.006359435282146946)	(46, 0.01695849408572519)	(48, 0.019078305846440838)	(50, 0.01695849408572519)	(52, 0.01695849408572519)	(54, 0.014838682325009539)	(56, 0.010599058803578244)	(58, 0.019078305846440838)	(60, 0.019078305846440838)	(62, 0.025437741128587783)	(64, 0.01695849408572519)	(66, 0.025437741128587783)	(68, 0.036036799932166026)	(70, 0.038156611692881676)	(72, 0.040276423453597325)	(74, 0.04451604697502862)	(76, 0.042396235214312974)
