Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115
SRR7685878_treated_Rep1 - Adapter 1	(1, 0.7604124270790937)	(2, 1.1185727852394518)	(3, 1.0719131614654003)	(4, 1.3463626492942455)	(5, 2.652173913043478)	(6, 7.586206896551724)	(7, 35.0)	(8, 85.0)	(9, 270.0)	(10, 48.0)	(11, 35.0)	(12, 28.0)	(13, 45.0)	(14, 23.0)	(15, 44.0)	(16, 17.0)	(17, 27.0)	(18, 17.0)	(19, 27.0)	(20, 23.0)	(21, 21.0)	(22, 28.0)	(23, 16.0)	(24, 15.0)	(25, 26.0)	(26, 13.0)	(27, 17.0)	(28, 18.0)	(29, 11.0)	(30, 17.0)	(31, 8.0)	(32, 15.0)	(33, 6.0)	(34, 8.0)	(35, 16.0)	(36, 4.0)	(37, 6.0)	(38, 8.0)	(39, 10.0)	(40, 8.0)	(41, 9.0)	(42, 5.0)	(43, 1.0)	(44, 6.0)	(45, 7.0)	(46, 5.0)	(47, 5.0)	(48, 2.0)	(49, 2.0)	(52, 4.0)	(53, 1.0)	(54, 1.0)	(56, 1.0)	(57, 1.0)	(58, 1.0)	(72, 1.0)	(76, 11.0)	(1, 0.7604124270790937)	(2, 1.1185727852394518)	(3, 1.0719131614654003)	(4, 1.3463626492942455)	(5, 2.652173913043478)	(6, 7.586206896551724)	(7, 35.0)	(8, 85.0)	(9, 270.0)	(10, 48.0)	(11, 35.0)	(12, 28.0)	(13, 45.0)	(14, 23.0)	(15, 44.0)	(16, 17.0)	(17, 27.0)	(18, 17.0)	(19, 27.0)	(20, 23.0)	(21, 21.0)	(22, 28.0)	(23, 16.0)	(24, 15.0)	(25, 26.0)	(26, 13.0)	(27, 17.0)	(28, 18.0)	(29, 11.0)	(30, 17.0)	(31, 8.0)	(32, 15.0)	(33, 6.0)	(34, 8.0)	(35, 16.0)	(36, 4.0)	(37, 6.0)	(38, 8.0)	(39, 10.0)	(40, 8.0)	(41, 9.0)	(42, 5.0)	(43, 1.0)	(44, 6.0)	(45, 7.0)	(46, 5.0)	(47, 5.0)	(48, 2.0)	(49, 2.0)	(52, 4.0)	(53, 1.0)	(54, 1.0)	(56, 1.0)	(57, 1.0)	(58, 1.0)	(72, 1.0)	(76, 11.0)		
SRR7685879_treated - Adapter 1	(1, 0.870980870980871)	(2, 1.1212861212861212)	(3, 1.3514246947082769)	(4, 1.4549402823018458)	(5, 3.3043478260869565)	(6, 8.448275862068966)	(7, 25.714285714285715)	(8, 117.5)	(9, 410.0)	(10, 38.0)	(11, 35.0)	(12, 41.0)	(13, 33.0)	(14, 27.0)	(15, 39.0)	(16, 27.0)	(17, 32.0)	(18, 26.0)	(19, 27.0)	(20, 23.0)	(21, 19.0)	(22, 25.0)	(23, 20.0)	(24, 22.0)	(25, 13.0)	(26, 17.0)	(27, 20.0)	(28, 14.0)	(29, 14.0)	(30, 11.0)	(31, 11.0)	(32, 9.0)	(33, 9.0)	(34, 12.0)	(35, 7.0)	(36, 12.0)	(37, 7.0)	(38, 4.0)	(39, 4.0)	(40, 3.0)	(41, 3.0)	(42, 7.0)	(43, 5.0)	(44, 6.0)	(45, 1.0)	(46, 5.0)	(47, 2.0)	(48, 3.0)	(49, 3.0)	(50, 4.0)	(52, 2.0)	(53, 1.0)	(55, 5.0)	(71, 1.0)	(73, 1.0)	(74, 2.0)	(75, 4.0)	(76, 2.0)	(1, 0.870980870980871)	(2, 1.1212861212861212)	(3, 1.3514246947082769)	(4, 1.4549402823018458)	(5, 3.3043478260869565)	(6, 8.448275862068966)	(7, 25.714285714285715)	(8, 117.5)	(9, 410.0)	(10, 38.0)	(11, 35.0)	(12, 41.0)	(13, 33.0)	(14, 27.0)	(15, 39.0)	(16, 27.0)	(17, 32.0)	(18, 26.0)	(19, 27.0)	(20, 23.0)	(21, 19.0)	(22, 25.0)	(23, 20.0)	(24, 22.0)	(25, 13.0)	(26, 17.0)	(27, 20.0)	(28, 14.0)	(29, 14.0)	(30, 11.0)	(31, 11.0)	(32, 9.0)	(33, 9.0)	(34, 12.0)	(35, 7.0)	(36, 12.0)	(37, 7.0)	(38, 4.0)	(39, 4.0)	(40, 3.0)	(41, 3.0)	(42, 7.0)	(43, 5.0)	(44, 6.0)	(45, 1.0)	(46, 5.0)	(47, 2.0)	(48, 3.0)	(49, 3.0)	(50, 4.0)	(52, 2.0)	(53, 1.0)	(55, 5.0)	(71, 1.0)	(73, 1.0)	(74, 2.0)	(75, 4.0)	(76, 2.0)
SRR7685879_treated_R1 - Adapter 1	(1, 0.870980870980871)	(2, 1.1212861212861212)	(3, 1.3514246947082769)	(4, 1.4549402823018458)	(5, 3.3043478260869565)	(6, 8.448275862068966)	(7, 25.714285714285715)	(8, 117.5)	(9, 410.0)	(10, 38.0)	(11, 35.0)	(12, 41.0)	(13, 33.0)	(14, 27.0)	(15, 39.0)	(16, 27.0)	(17, 32.0)	(18, 26.0)	(19, 27.0)	(20, 23.0)	(21, 19.0)	(22, 25.0)	(23, 20.0)	(24, 22.0)	(25, 13.0)	(26, 17.0)	(27, 20.0)	(28, 14.0)	(29, 14.0)	(30, 11.0)	(31, 11.0)	(32, 9.0)	(33, 9.0)	(34, 12.0)	(35, 7.0)	(36, 12.0)	(37, 7.0)	(38, 4.0)	(39, 4.0)	(40, 3.0)	(41, 3.0)	(42, 7.0)	(43, 5.0)	(44, 6.0)	(45, 1.0)	(46, 5.0)	(47, 2.0)	(48, 3.0)	(49, 3.0)	(50, 4.0)	(52, 2.0)	(53, 1.0)	(55, 5.0)	(71, 1.0)	(73, 1.0)	(74, 2.0)	(75, 4.0)	(76, 2.0)	(1, 0.870980870980871)	(2, 1.1212861212861212)	(3, 1.3514246947082769)	(4, 1.4549402823018458)	(5, 3.3043478260869565)	(6, 8.448275862068966)	(7, 25.714285714285715)	(8, 117.5)	(9, 410.0)	(10, 38.0)	(11, 35.0)	(12, 41.0)	(13, 33.0)	(14, 27.0)	(15, 39.0)	(16, 27.0)	(17, 32.0)	(18, 26.0)	(19, 27.0)	(20, 23.0)	(21, 19.0)	(22, 25.0)	(23, 20.0)	(24, 22.0)	(25, 13.0)	(26, 17.0)	(27, 20.0)	(28, 14.0)	(29, 14.0)	(30, 11.0)	(31, 11.0)	(32, 9.0)	(33, 9.0)	(34, 12.0)	(35, 7.0)	(36, 12.0)	(37, 7.0)	(38, 4.0)	(39, 4.0)	(40, 3.0)	(41, 3.0)	(42, 7.0)	(43, 5.0)	(44, 6.0)	(45, 1.0)	(46, 5.0)	(47, 2.0)	(48, 3.0)	(49, 3.0)	(50, 4.0)	(52, 2.0)	(53, 1.0)	(55, 5.0)	(71, 1.0)	(73, 1.0)	(74, 2.0)	(75, 4.0)	(76, 2.0)
SRR7685879_treated_Rep2 - Adapter 1	(1, 0.870980870980871)	(2, 1.1212861212861212)	(3, 1.3514246947082769)	(4, 1.4549402823018458)	(5, 3.3043478260869565)	(6, 8.448275862068966)	(7, 25.714285714285715)	(8, 117.5)	(9, 410.0)	(10, 38.0)	(11, 35.0)	(12, 41.0)	(13, 33.0)	(14, 27.0)	(15, 39.0)	(16, 27.0)	(17, 32.0)	(18, 26.0)	(19, 27.0)	(20, 23.0)	(21, 19.0)	(22, 25.0)	(23, 20.0)	(24, 22.0)	(25, 13.0)	(26, 17.0)	(27, 20.0)	(28, 14.0)	(29, 14.0)	(30, 11.0)	(31, 11.0)	(32, 9.0)	(33, 9.0)	(34, 12.0)	(35, 7.0)	(36, 12.0)	(37, 7.0)	(38, 4.0)	(39, 4.0)	(40, 3.0)	(41, 3.0)	(42, 7.0)	(43, 5.0)	(44, 6.0)	(45, 1.0)	(46, 5.0)	(47, 2.0)	(48, 3.0)	(49, 3.0)	(50, 4.0)	(52, 2.0)	(53, 1.0)	(55, 5.0)	(71, 1.0)	(73, 1.0)	(74, 2.0)	(75, 4.0)	(76, 2.0)	(1, 0.870980870980871)	(2, 1.1212861212861212)	(3, 1.3514246947082769)	(4, 1.4549402823018458)	(5, 3.3043478260869565)	(6, 8.448275862068966)	(7, 25.714285714285715)	(8, 117.5)	(9, 410.0)	(10, 38.0)	(11, 35.0)	(12, 41.0)	(13, 33.0)	(14, 27.0)	(15, 39.0)	(16, 27.0)	(17, 32.0)	(18, 26.0)	(19, 27.0)	(20, 23.0)	(21, 19.0)	(22, 25.0)	(23, 20.0)	(24, 22.0)	(25, 13.0)	(26, 17.0)	(27, 20.0)	(28, 14.0)	(29, 14.0)	(30, 11.0)	(31, 11.0)	(32, 9.0)	(33, 9.0)	(34, 12.0)	(35, 7.0)	(36, 12.0)	(37, 7.0)	(38, 4.0)	(39, 4.0)	(40, 3.0)	(41, 3.0)	(42, 7.0)	(43, 5.0)	(44, 6.0)	(45, 1.0)	(46, 5.0)	(47, 2.0)	(48, 3.0)	(49, 3.0)	(50, 4.0)	(52, 2.0)	(53, 1.0)	(55, 5.0)	(71, 1.0)	(73, 1.0)	(74, 2.0)	(75, 4.0)	(76, 2.0)
SRR7685880_control_Rep1 - Adapter 1	(1, 0.7695699362366029)	(2, 1.1138244471577805)	(3, 1.0420624151967435)	(4, 1.1834961997828448)	(5, 2.6956521739130435)	(6, 6.379310344827586)	(7, 32.142857142857146)	(8, 87.5)	(9, 340.0)	(10, 45.0)	(11, 18.0)	(12, 25.0)	(13, 30.0)	(14, 14.0)	(15, 32.0)	(16, 10.0)	(17, 17.0)	(18, 22.0)	(19, 10.0)	(20, 20.0)	(21, 16.0)	(22, 22.0)	(23, 17.0)	(24, 15.0)	(25, 16.0)	(26, 13.0)	(27, 13.0)	(28, 7.0)	(29, 11.0)	(30, 8.0)	(31, 5.0)	(32, 11.0)	(33, 4.0)	(34, 11.0)	(35, 3.0)	(36, 10.0)	(37, 3.0)	(38, 3.0)	(39, 4.0)	(40, 4.0)	(41, 3.0)	(42, 7.0)	(43, 4.0)	(44, 4.0)	(45, 1.0)	(47, 2.0)	(48, 1.0)	(49, 2.0)	(52, 1.0)	(53, 2.0)	(54, 3.0)	(55, 1.0)	(59, 1.0)	(72, 1.0)	(73, 1.0)	(74, 5.0)	(75, 2.0)	(76, 2.0)	(1, 0.7695699362366029)	(2, 1.1138244471577805)	(3, 1.0420624151967435)	(4, 1.1834961997828448)	(5, 2.6956521739130435)	(6, 6.379310344827586)	(7, 32.142857142857146)	(8, 87.5)	(9, 340.0)	(10, 45.0)	(11, 18.0)	(12, 25.0)	(13, 30.0)	(14, 14.0)	(15, 32.0)	(16, 10.0)	(17, 17.0)	(18, 22.0)	(19, 10.0)	(20, 20.0)	(21, 16.0)	(22, 22.0)	(23, 17.0)	(24, 15.0)	(25, 16.0)	(26, 13.0)	(27, 13.0)	(28, 7.0)	(29, 11.0)	(30, 8.0)	(31, 5.0)	(32, 11.0)	(33, 4.0)	(34, 11.0)	(35, 3.0)	(36, 10.0)	(37, 3.0)	(38, 3.0)	(39, 4.0)	(40, 4.0)	(41, 3.0)	(42, 7.0)	(43, 4.0)	(44, 4.0)	(45, 1.0)	(47, 2.0)	(48, 1.0)	(49, 2.0)	(52, 1.0)	(53, 2.0)	(54, 3.0)	(55, 1.0)	(59, 1.0)	(72, 1.0)	(73, 1.0)	(74, 5.0)	(75, 2.0)	(76, 2.0)
SRR7685881_control - Adapter 1	(1, 0.8830212996879663)	(2, 1.095509428842762)	(3, 1.4084124830393487)	(4, 1.3680781758957656)	(5, 2.5652173913043477)	(6, 6.0344827586206895)	(7, 30.714285714285715)	(8, 75.0)	(9, 310.0)	(10, 37.0)	(11, 27.0)	(12, 27.0)	(13, 29.0)	(14, 25.0)	(15, 25.0)	(16, 24.0)	(17, 26.0)	(18, 27.0)	(19, 20.0)	(20, 20.0)	(21, 28.0)	(22, 13.0)	(23, 15.0)	(24, 14.0)	(25, 32.0)	(26, 14.0)	(27, 15.0)	(28, 16.0)	(29, 13.0)	(30, 11.0)	(31, 15.0)	(32, 14.0)	(33, 9.0)	(34, 15.0)	(35, 4.0)	(36, 6.0)	(37, 4.0)	(38, 3.0)	(39, 4.0)	(40, 3.0)	(41, 2.0)	(42, 7.0)	(43, 5.0)	(44, 3.0)	(45, 4.0)	(46, 3.0)	(48, 3.0)	(49, 1.0)	(50, 1.0)	(51, 1.0)	(52, 1.0)	(54, 5.0)	(65, 1.0)	(73, 1.0)	(74, 3.0)	(75, 1.0)	(76, 5.0)	(1, 0.8830212996879663)	(2, 1.095509428842762)	(3, 1.4084124830393487)	(4, 1.3680781758957656)	(5, 2.5652173913043477)	(6, 6.0344827586206895)	(7, 30.714285714285715)	(8, 75.0)	(9, 310.0)	(10, 37.0)	(11, 27.0)	(12, 27.0)	(13, 29.0)	(14, 25.0)	(15, 25.0)	(16, 24.0)	(17, 26.0)	(18, 27.0)	(19, 20.0)	(20, 20.0)	(21, 28.0)	(22, 13.0)	(23, 15.0)	(24, 14.0)	(25, 32.0)	(26, 14.0)	(27, 15.0)	(28, 16.0)	(29, 13.0)	(30, 11.0)	(31, 15.0)	(32, 14.0)	(33, 9.0)	(34, 15.0)	(35, 4.0)	(36, 6.0)	(37, 4.0)	(38, 3.0)	(39, 4.0)	(40, 3.0)	(41, 2.0)	(42, 7.0)	(43, 5.0)	(44, 3.0)	(45, 4.0)	(46, 3.0)	(48, 3.0)	(49, 1.0)	(50, 1.0)	(51, 1.0)	(52, 1.0)	(54, 5.0)	(65, 1.0)	(73, 1.0)	(74, 3.0)	(75, 1.0)	(76, 5.0)		
SRR7685881_control_R1 - Adapter 1	(1, 0.8830212996879663)	(2, 1.095509428842762)	(3, 1.4084124830393487)	(4, 1.3680781758957656)	(5, 2.5652173913043477)	(6, 6.0344827586206895)	(7, 30.714285714285715)	(8, 75.0)	(9, 310.0)	(10, 37.0)	(11, 27.0)	(12, 27.0)	(13, 29.0)	(14, 25.0)	(15, 25.0)	(16, 24.0)	(17, 26.0)	(18, 27.0)	(19, 20.0)	(20, 20.0)	(21, 28.0)	(22, 13.0)	(23, 15.0)	(24, 14.0)	(25, 32.0)	(26, 14.0)	(27, 15.0)	(28, 16.0)	(29, 13.0)	(30, 11.0)	(31, 15.0)	(32, 14.0)	(33, 9.0)	(34, 15.0)	(35, 4.0)	(36, 6.0)	(37, 4.0)	(38, 3.0)	(39, 4.0)	(40, 3.0)	(41, 2.0)	(42, 7.0)	(43, 5.0)	(44, 3.0)	(45, 4.0)	(46, 3.0)	(48, 3.0)	(49, 1.0)	(50, 1.0)	(51, 1.0)	(52, 1.0)	(54, 5.0)	(65, 1.0)	(73, 1.0)	(74, 3.0)	(75, 1.0)	(76, 5.0)	(1, 0.8830212996879663)	(2, 1.095509428842762)	(3, 1.4084124830393487)	(4, 1.3680781758957656)	(5, 2.5652173913043477)	(6, 6.0344827586206895)	(7, 30.714285714285715)	(8, 75.0)	(9, 310.0)	(10, 37.0)	(11, 27.0)	(12, 27.0)	(13, 29.0)	(14, 25.0)	(15, 25.0)	(16, 24.0)	(17, 26.0)	(18, 27.0)	(19, 20.0)	(20, 20.0)	(21, 28.0)	(22, 13.0)	(23, 15.0)	(24, 14.0)	(25, 32.0)	(26, 14.0)	(27, 15.0)	(28, 16.0)	(29, 13.0)	(30, 11.0)	(31, 15.0)	(32, 14.0)	(33, 9.0)	(34, 15.0)	(35, 4.0)	(36, 6.0)	(37, 4.0)	(38, 3.0)	(39, 4.0)	(40, 3.0)	(41, 2.0)	(42, 7.0)	(43, 5.0)	(44, 3.0)	(45, 4.0)	(46, 3.0)	(48, 3.0)	(49, 1.0)	(50, 1.0)	(51, 1.0)	(52, 1.0)	(54, 5.0)	(65, 1.0)	(73, 1.0)	(74, 3.0)	(75, 1.0)	(76, 5.0)		
SRR7685881_control_Rep2 - Adapter 1	(1, 0.8830212996879663)	(2, 1.095509428842762)	(3, 1.4084124830393487)	(4, 1.3680781758957656)	(5, 2.5652173913043477)	(6, 6.0344827586206895)	(7, 30.714285714285715)	(8, 75.0)	(9, 310.0)	(10, 37.0)	(11, 27.0)	(12, 27.0)	(13, 29.0)	(14, 25.0)	(15, 25.0)	(16, 24.0)	(17, 26.0)	(18, 27.0)	(19, 20.0)	(20, 20.0)	(21, 28.0)	(22, 13.0)	(23, 15.0)	(24, 14.0)	(25, 32.0)	(26, 14.0)	(27, 15.0)	(28, 16.0)	(29, 13.0)	(30, 11.0)	(31, 15.0)	(32, 14.0)	(33, 9.0)	(34, 15.0)	(35, 4.0)	(36, 6.0)	(37, 4.0)	(38, 3.0)	(39, 4.0)	(40, 3.0)	(41, 2.0)	(42, 7.0)	(43, 5.0)	(44, 3.0)	(45, 4.0)	(46, 3.0)	(48, 3.0)	(49, 1.0)	(50, 1.0)	(51, 1.0)	(52, 1.0)	(54, 5.0)	(65, 1.0)	(73, 1.0)	(74, 3.0)	(75, 1.0)	(76, 5.0)	(1, 0.8830212996879663)	(2, 1.095509428842762)	(3, 1.4084124830393487)	(4, 1.3680781758957656)	(5, 2.5652173913043477)	(6, 6.0344827586206895)	(7, 30.714285714285715)	(8, 75.0)	(9, 310.0)	(10, 37.0)	(11, 27.0)	(12, 27.0)	(13, 29.0)	(14, 25.0)	(15, 25.0)	(16, 24.0)	(17, 26.0)	(18, 27.0)	(19, 20.0)	(20, 20.0)	(21, 28.0)	(22, 13.0)	(23, 15.0)	(24, 14.0)	(25, 32.0)	(26, 14.0)	(27, 15.0)	(28, 16.0)	(29, 13.0)	(30, 11.0)	(31, 15.0)	(32, 14.0)	(33, 9.0)	(34, 15.0)	(35, 4.0)	(36, 6.0)	(37, 4.0)	(38, 3.0)	(39, 4.0)	(40, 3.0)	(41, 2.0)	(42, 7.0)	(43, 5.0)	(44, 3.0)	(45, 4.0)	(46, 3.0)	(48, 3.0)	(49, 1.0)	(50, 1.0)	(51, 1.0)	(52, 1.0)	(54, 5.0)	(65, 1.0)	(73, 1.0)	(74, 3.0)	(75, 1.0)	(76, 5.0)		
