Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR7685878_treated_Rep1	(1, 31.064569466231397)	(2, 31.32102429304278)	(3, 31.442998261754358)	(4, 31.472506041463518)	(5, 31.47017424852673)	(6, 34.89049052444143)	(7, 34.886971636918645)	(8, 34.85441132827405)	(9, 34.87238733200492)	(10, 34.83155975749354)	(12, 34.8509984313393)	(14, 34.82216899139357)	(16, 34.803239072370374)	(18, 34.77182346207657)	(20, 34.73712214355365)	(22, 34.65285962606521)	(24, 34.597659727816165)	(26, 34.46720651206173)	(28, 34.41635222792216)	(30, 34.388709882562424)	(32, 34.29113494721669)	(34, 34.2177258659431)	(36, 34.14440157713995)	(38, 34.03974647051342)	(40, 34.00156866070293)	(42, 33.9084665281723)	(44, 33.81328698011617)	(46, 33.73273413320897)	(48, 33.72792216051215)	(50, 33.55191419001993)	(52, 33.4425531012846)	(54, 33.38606011786153)	(56, 33.193263238224446)	(58, 33.07194641115869)	(60, 32.96322126595158)	(62, 32.8791495315216)	(64, 32.65932505193539)	(66, 32.596472633230164)	(68, 32.434709797769955)	(70, 32.28129902064697)	(72, 32.197142493746554)	(74, 32.00292534022979)	(76, 30.346970788993936)
SRR7685879_treated	(1, 31.38325486703143)	(2, 31.57102260677779)	(3, 31.648555795902787)	(4, 31.69241209653476)	(5, 31.7292700513212)	(6, 35.33519955889214)	(7, 35.342791703779106)	(8, 35.33625991432328)	(9, 35.314204521355556)	(10, 35.283984391568055)	(12, 35.32805276328625)	(14, 35.316325232217835)	(16, 35.29605123637443)	(18, 35.26939390083556)	(20, 35.25903459574326)	(22, 35.23060116244538)	(24, 35.216004014129595)	(26, 35.1594093671641)	(28, 35.111889655463436)	(30, 35.13260167149973)	(32, 35.10939012329112)	(34, 35.060240313594406)	(36, 35.07919928806958)	(38, 34.974503386219524)	(40, 34.9800987930226)	(42, 34.98008132179484)	(44, 34.88715372852045)	(46, 34.9099324964213)	(48, 34.855218451000866)	(50, 34.82351245903363)	(52, 34.82537303399838)	(54, 34.777506660550195)	(56, 34.74625664894285)	(58, 34.74547361481483)	(60, 34.703483343676425)	(62, 34.67657181523489)	(64, 34.63280402528271)	(66, 34.59384233175281)	(68, 34.55877578017524)	(70, 34.55406545970885)	(72, 34.54673711398864)	(74, 34.66408234177561)	(76, 35.324838503584864)
SRR7685879_treated_R1	(1, 31.381226947047104)	(2, 31.57120447704244)	(3, 31.648704795014204)	(4, 31.692542502225802)	(5, 31.72938483062704)	(6, 35.33548140925086)	(7, 35.34307033535422)	(8, 35.33637173019036)	(9, 35.31449527281978)	(10, 35.28428795522957)	(12, 35.328252851146814)	(14, 35.31661508458049)	(16, 35.29618009920719)	(18, 35.26961885784542)	(20, 35.25929537457074)	(22, 35.22938483062704)	(24, 35.21566964853521)	(26, 35.15938864628821)	(28, 35.111926060965786)	(30, 35.13132233857634)	(32, 35.10758044685632)	(34, 35.05852800271336)	(36, 35.07326069445033)	(38, 34.96875397464705)	(40, 34.9730571925213)	(42, 34.97256963581634)	(44, 34.875694238351635)	(46, 34.89678636537076)	(48, 34.84559291134947)	(50, 34.80582524271844)	(52, 34.80256073260694)	(54, 34.75329630728791)	(56, 34.72291940475685)	(58, 34.72495442404714)	(60, 34.67916649001569)	(62, 34.648217238309236)	(64, 34.59948276593039)	(66, 34.555687454954)	(68, 34.50780090727943)	(70, 34.47839911815831)	(72, 34.4487641497435)	(74, 34.406325518293976)	(76, 33.72845211345233)
SRR7685879_treated_Rep2	(1, 31.381226947047104)	(2, 31.57120447704244)	(3, 31.648704795014204)	(4, 31.692542502225802)	(5, 31.72938483062704)	(6, 35.33548140925086)	(7, 35.34307033535422)	(8, 35.33637173019036)	(9, 35.31449527281978)	(10, 35.28428795522957)	(12, 35.328252851146814)	(14, 35.31661508458049)	(16, 35.29618009920719)	(18, 35.26961885784542)	(20, 35.25929537457074)	(22, 35.22938483062704)	(24, 35.21566964853521)	(26, 35.15938864628821)	(28, 35.111926060965786)	(30, 35.13132233857634)	(32, 35.10758044685632)	(34, 35.05852800271336)	(36, 35.07326069445033)	(38, 34.96875397464705)	(40, 34.9730571925213)	(42, 34.97256963581634)	(44, 34.875694238351635)	(46, 34.89678636537076)	(48, 34.84559291134947)	(50, 34.80582524271844)	(52, 34.80256073260694)	(54, 34.75329630728791)	(56, 34.72291940475685)	(58, 34.72495442404714)	(60, 34.67916649001569)	(62, 34.648217238309236)	(64, 34.59948276593039)	(66, 34.555687454954)	(68, 34.50780090727943)	(70, 34.47839911815831)	(72, 34.4487641497435)	(74, 34.406325518293976)	(76, 33.72845211345233)
SRR7685880_control_Rep1	(1, 31.095433925467418)	(2, 31.28918472039683)	(3, 31.365837113664305)	(4, 31.413320897104338)	(5, 31.42603976766863)	(6, 34.80294229872387)	(7, 34.795310976385295)	(8, 34.83211090855132)	(9, 34.81235426294145)	(10, 34.76749904608471)	(12, 34.79185568321533)	(14, 34.74536821130283)	(16, 34.712044770424384)	(18, 34.68397846271252)	(20, 34.67522364014076)	(22, 34.623351846356044)	(24, 34.53764785687031)	(26, 34.40541399923687)	(28, 34.32626022809175)	(30, 34.264298130326026)	(32, 34.232458557680076)	(34, 34.1116504854369)	(36, 34.05178700131428)	(38, 33.9446093186925)	(40, 33.95635307584686)	(42, 33.83715606054182)	(44, 33.70148810785602)	(46, 33.61646245813372)	(48, 33.57120447704244)	(50, 33.428307966252596)	(52, 33.27084834866663)	(54, 33.25391105269852)	(56, 33.135498367744944)	(58, 32.98658159155467)	(60, 32.84896341204901)	(62, 32.738923983550265)	(64, 32.54790774579217)	(66, 32.398185441132824)	(68, 32.244711069657015)	(70, 32.13314537669055)	(72, 32.04095476321703)	(74, 31.85400856403951)	(76, 30.147114936193667)
SRR7685881_control	(1, 31.402612826603324)	(2, 31.58593484899898)	(3, 31.668646080760094)	(4, 31.690872073294877)	(5, 31.716957923311842)	(6, 35.368552765524264)	(7, 35.3590515778758)	(8, 35.32473702069902)	(9, 35.34827790973872)	(10, 35.31985917882592)	(12, 35.34132168306753)	(14, 35.31347556837461)	(16, 35.29932982694265)	(18, 35.28408126908721)	(20, 35.2622794367153)	(22, 35.24707772333966)	(24, 35.24145027155465)	(26, 35.1658567460063)	(28, 35.14677360557093)	(30, 35.121906764895364)	(32, 35.0845950599392)	(34, 35.07128860822114)	(36, 35.025580028778265)	(38, 35.011181410612224)	(40, 35.004254815559946)	(42, 34.98360044955899)	(44, 34.945419395191585)	(46, 34.88288902513952)	(48, 34.894119970455364)	(50, 34.83560700505022)	(52, 34.80589161455896)	(54, 34.79843473418644)	(56, 34.75500476458525)	(58, 34.689859719505925)	(60, 34.719079279157675)	(62, 34.70923948912099)	(64, 34.66557205031859)	(66, 34.6128095537225)	(68, 34.569817561237905)	(70, 34.55256784604686)	(72, 34.519634421244504)	(74, 34.6659980006703)	(76, 35.333780160857906)
SRR7685881_control_R1	(1, 31.402891423241616)	(2, 31.586127951837877)	(3, 31.668800610505787)	(4, 31.691016237758088)	(5, 31.71708992241489)	(6, 35.368847246364524)	(7, 35.359350489676515)	(8, 35.32505193538814)	(9, 35.34858184593208)	(10, 35.3196252172807)	(12, 35.341077712299146)	(14, 35.313795734938736)	(16, 35.29965659049476)	(18, 35.28441514393522)	(20, 35.26262347903506)	(22, 35.24678848518252)	(24, 35.24057743672362)	(26, 35.16449739263153)	(28, 35.14567346419638)	(30, 35.12108364777208)	(32, 35.08150676219952)	(34, 35.06764319328444)	(36, 35.01939627761055)	(38, 35.001971424937466)	(40, 34.99400093271717)	(42, 34.967990842413194)	(44, 34.922838851909944)	(46, 34.86424725484377)	(48, 34.873616822826136)	(50, 34.81148514011956)	(52, 34.78454233264086)	(54, 34.773561707720354)	(56, 34.72675626404376)	(58, 34.6584559291135)	(60, 34.68151948107008)	(62, 34.67323101708568)	(64, 34.62138042141858)	(66, 34.55780726671472)	(68, 34.508585237630896)	(70, 34.474837834400304)	(72, 34.415207529571376)	(74, 34.404905244414294)	(76, 33.748675117649555)
SRR7685881_control_Rep2	(1, 31.402891423241616)	(2, 31.586127951837877)	(3, 31.668800610505787)	(4, 31.691016237758088)	(5, 31.71708992241489)	(6, 35.368847246364524)	(7, 35.359350489676515)	(8, 35.32505193538814)	(9, 35.34858184593208)	(10, 35.3196252172807)	(12, 35.341077712299146)	(14, 35.313795734938736)	(16, 35.29965659049476)	(18, 35.28441514393522)	(20, 35.26262347903506)	(22, 35.24678848518252)	(24, 35.24057743672362)	(26, 35.16449739263153)	(28, 35.14567346419638)	(30, 35.12108364777208)	(32, 35.08150676219952)	(34, 35.06764319328444)	(36, 35.01939627761055)	(38, 35.001971424937466)	(40, 34.99400093271717)	(42, 34.967990842413194)	(44, 34.922838851909944)	(46, 34.86424725484377)	(48, 34.873616822826136)	(50, 34.81148514011956)	(52, 34.78454233264086)	(54, 34.773561707720354)	(56, 34.72675626404376)	(58, 34.6584559291135)	(60, 34.68151948107008)	(62, 34.67323101708568)	(64, 34.62138042141858)	(66, 34.55780726671472)	(68, 34.508585237630896)	(70, 34.474837834400304)	(72, 34.415207529571376)	(74, 34.404905244414294)	(76, 33.748675117649555)
